PEMBUKAAN
NAMAKĀRA PĀṬHA|Kalimat Persujududan
PŪJĀ KATHĀ|Kalimat Puja
PUBBABHĀGANAMAKĀRA|Penghormatan Pendahuluan
SARAṆAGAMANA PĀṬHA|Kalimat Perlindungan
PAÑCASĪLA|Lima Sīla
BUDDHĀNUSSATI|Perenungan Terhadap Buddha
DHAMMĀNUSSATI|Perenungan Terhadap Dhamma
SAṄGHĀNUSSATI|Perenungan Terhadap Saṅgha
SACCAKIRIYA GĀTHĀ|Pernyataan Kebenaran
MAṄGALA SUTTA|Sutta Tentang Berkah
KARAṆĪYAMETTA SUTTA|Sutta Tentang Cinta Kasih
BRAHMAVIHĀRAPHARAṆA|Pemancaran Brahmavihāra
ABHIṆHAPACCAVEKKHAṆA Pāṭha|Kalimat Perenungan Kerap Kali
BHĀVANĀ|Pengembangan Batin
PAÑCASĪLA-ĀRĀDHANĀ|Permohonan Lima Sīla
PARITTA-ĀRĀDHANĀ|Permohonan Paritta
DHAMMADESANĀ-ĀRĀDHANĀ|Permohonan Dhammadesanā
DHAMMADESANĀ
ETTĀVATĀTIĀDIPATTIDĀNA|Pelimpahan Jasa Berawalkan Kata Ettāvatā
PENUTUP<!--suppress Annotator -->
